nameOfIssuer/__text,titleOfClass/__text,cusip/__text,value/__text,shrsOrPrnAmt/sshPrnamt/__text,shrsOrPrnAmt/sshPrnamtType/__text,investmentDiscretion/__text,votingAuthority/Sole/__text,votingAuthority/Shared/__text,votingAuthority/None/__text
VANGUARD INDEX FDS,MID CAP ETF,922908629,55015525,249889,SH,SOLE,0,0,249889
VANGUARD INDEX FDS,REAL ESTATE ETF,922908553,6369762,76230,SH,SOLE,0,0,76230
VANGUARD INDEX FDS,S&P 500 ETF SHS,922908363,171689226,421497,SH,SOLE,0,0,421497
VANGUARD INDEX FDS,SM CP VAL ETF,922908611,1141826,6903,SH,SOLE,0,0,6903
VANGUARD INDEX FDS,SMALL CP ETF,922908751,30331838,152506,SH,SOLE,0,0,152506
VANGUARD INDEX FDS,SML CP GRW ETF,922908595,140691,612,SH,SOLE,0,0,612
VANGUARD INDEX FDS,TOTAL STK MKT,922908769,13733267,62345,SH,SOLE,0,0,62345
VANGUARD INDEX FDS,VALUE ETF,922908744,710528,5000,SH,SOLE,0,0,5000
VANGUARD INTL EQUITY INDEX F,ALLWRLD EX US,922042775,5418964,99595,SH,SOLE,0,0,99595
VANGUARD INTL EQUITY INDEX F,FTSE EMR MKT ETF,922042858,5757398,141529,SH,SOLE,0,0,141529
VANGUARD INTL EQUITY INDEX F,FTSE EUROPE ETF,922042874,79902,1295,SH,SOLE,0,0,1295
VANGUARD INTL EQUITY INDEX F,FTSE PACIFIC ETF,922042866,162099,2325,SH,SOLE,0,0,2325
VANGUARD INTL EQUITY INDEX F,FTSE SMCAP ETF,922042718,145941,1321,SH,SOLE,0,0,1321
VANGUARD INTL EQUITY INDEX F,TT WRLD ST ETF,922042742,20001701,206246,SH,SOLE,0,0,206246
VANGUARD MALVERN FDS,STRM INFPROIDX,922020805,255452,5387,SH,SOLE,0,0,5387
VANGUARD MUN BD FDS,TAX EXEMPT BD,922907746,4675837,93107,SH,SOLE,0,0,93107
VANGUARD SCOTTSDALE FDS,INTER TERM TREAS,92206C706,269661,4597,SH,SOLE,0,0,4597
VANGUARD SCOTTSDALE FDS,LG-TERM COR BD,92206C813,7640374,97342,SH,SOLE,0,0,97342
VANGUARD SCOTTSDALE FDS,MTG-BKD SECS ETF,92206C771,24467,532,SH,SOLE,0,0,532
VANGUARD SCOTTSDALE FDS,SHORT TERM TREAS,92206C102,1617,28,SH,SOLE,0,0,28
VANGUARD SCOTTSDALE FDS,SHRT TRM CORP BD,92206C409,1253978,16574,SH,SOLE,0,0,16574
VANGUARD SCOTTSDALE FDS,VNG RUS1000GRW,92206C680,31913,451,SH,SOLE,0,0,451
VANGUARD SCOTTSDALE FDS,VNG RUS1000IDX,92206C730,6662566,33055,SH,SOLE,0,0,33055
VANGUARD SCOTTSDALE FDS,VNG RUS1000VAL,92206C714,68103,984,SH,SOLE,0,0,984
VANGUARD SCOTTSDALE FDS,VNG RUS2000IDX,92206C664,39399,521,SH,SOLE,0,0,521
VANGUARD SPECIALIZED FUNDS,DIV APP ETF,921908844,19087050,117509,SH,SOLE,0,0,117509
VANGUARD STAR FDS,VG TL INTL STK F,921909768,684257,12201,SH,SOLE,0,0,12201
VANGUARD TAX-MANAGED FDS,VAN FTSE DEV MKT,921943858,5152007,111564,SH,SOLE,0,0,111564
VANGUARD WHITEHALL FDS,HIGH DIV YLD,921946406,704713,6644,SH,SOLE,0,0,6644
VANGUARD WHITEHALL FDS,INTL DVD ETF,921946810,128,2,SH,SOLE,0,0,2
VANGUARD WHITEHALL FDS,INTL HIGH ETF,921946794,1896,30,SH,SOLE,0,0,30
VANGUARD WORLD FD,MEGA CAP VAL ETF,921910840,66199,638,SH,SOLE,0,0,638
VANGUARD WORLD FD,MEGA GRWTH IND,921910816,21650,92,SH,SOLE,0,0,92
VANGUARD WORLD FDS,COMM SRVC ETF,92204A884,2020,19,SH,SOLE,0,0,19
VANGUARD WORLD FDS,CONSUM DIS ETF,92204A108,1276666,4508,SH,SOLE,0,0,4508
VANGUARD WORLD FDS,CONSUM STP ETF,92204A207,1655819,8515,SH,SOLE,0,0,8515
VANGUARD WORLD FDS,ENERGY ETF,92204A306,225780,2000,SH,SOLE,0,0,2000
VANGUARD WORLD FDS,FINANCIALS ETF,92204A405,961476,11835,SH,SOLE,0,0,11835
VANGUARD WORLD FDS,HEALTH CAR ETF,92204A504,4804359,19624,SH,SOLE,0,0,19624
VANGUARD WORLD FDS,INDUSTRIAL ETF,92204A603,1213308,5903,SH,SOLE,0,0,5903
VANGUARD WORLD FDS,INF TECH ETF,92204A702,795347,1799,SH,SOLE,0,0,1799
VANGUARD WORLD FDS,MATERIALS ETF,92204A801,5768,32,SH,SOLE,0,0,32
VANGUARD WORLD FDS,UTILITIES ETF,92204A876,92127,648,SH,SOLE,0,0,648
VEEVA SYS INC,CL A COM,922475108,44869,227,SH,SOLE,0,0,227
VENTAS INC,COM,92276F100,14512,307,SH,SOLE,0,0,307
VENTYX BIOSCIENCES INC,COM,92332V107,16400,500,SH,SOLE,0,0,500
VERISK ANALYTICS INC,COM,92345Y106,179694,795,SH,SOLE,0,0,795
VERIZON COMMUNICATIONS INC,COM,92343V104,1460763,39278,SH,SOLE,0,0,39278
VERTEX PHARMACEUTICALS INC,COM,92532F100,93257,265,SH,SOLE,0,0,265
VERU INC,COM,92536C103,1190,1000,SH,SOLE,0,0,1000
VIATRIS INC,COM,92556V106,43264,4335,SH,SOLE,0,0,4335
VICI PPTYS INC,COM,925652109,44128,1404,SH,SOLE,0,0,1404
VIR BIOTECHNOLOGY INC,COM,92764N102,491,20,SH,SOLE,0,0,20
VISA INC,COM CL A,92826C839,9113214,38375,SH,SOLE,0,0,38375
VISHAY INTERTECHNOLOGY INC,COM,928298108,1532,52,SH,SOLE,0,0,52
VISTEON CORP,COM NEW,92839U206,71949,501,SH,SOLE,0,0,501
VMWARE INC,CL A COM,928563402,27740,193,SH,SOLE,0,0,193
VONTIER CORPORATION,COM,928881101,6153,191,SH,SOLE,0,0,191
VOYAGER THERAPEUTICS INC,COM,92915B106,287,25,SH,SOLE,0,0,25
VULCAN MATLS CO,COM,929160109,1153,5,SH,SOLE,0,0,5
WABTEC,COM,929740108,133909,1221,SH,SOLE,0,0,1221
WALGREENS BOOTS ALLIANCE INC,COM,931427108,160456,5632,SH,SOLE,0,0,5632
WALKER & DUNLOP INC,COM,93148P102,1263,16,SH,SOLE,0,0,16
WALMART INC,COM,931142103,4660431,29650,SH,SOLE,0,0,29650
WARBY PARKER INC,CL A COM,93403J106,1053,90,SH,SOLE,0,0,90
WARNER BROS DISCOVERY INC,COM SER A,934423104,42762,3410,SH,SOLE,0,0,3410
WASTE CONNECTIONS INC,COM,94106B101,227545,1592,SH,SOLE,0,0,1592
WASTE MGMT INC DEL,COM,94106L109,541364,3122,SH,SOLE,0,0,3122
WATERS CORP,COM,941848103,154860,581,SH,SOLE,0,0,581
WATSCO INC,COM,942622200,3052,8,SH,SOLE,0,0,8
WAYFAIR INC,CL A,94419L101,14433,222,SH,SOLE,0,0,222
WEC ENERGY GROUP INC,COM,92939U106,439261,4978,SH,SOLE,0,0,4978
WELLS FARGO CO NEW,COM,949746101,2114368,49540,SH,SOLE,0,0,49540
WELLTOWER INC,COM,95040Q104,99414,1229,SH,SOLE,0,0,1229
WENDYS CO,COM,95058W100,435,20,SH,SOLE,0,0,20
WESCO INTL INC,COM,95082P105,103855,580,SH,SOLE,0,0,580
WEST PHARMACEUTICAL SVSC INC,COM,955306105,2295,6,SH,SOLE,0,0,6
WESTERN ALLIANCE BANCORP,COM,957638109,55544,1523,SH,SOLE,0,0,1523
WESTERN DIGITAL CORP.,COM,958102105,20293,535,SH,SOLE,0,0,535
WESTERN UN CO,COM,959802109,404768,34507,SH,SOLE,0,0,34507
WEYERHAEUSER CO MTN BE,COM NEW,962166104,118693,3542,SH,SOLE,0,0,3542
WHIRLPOOL CORP,COM,963320106,124538,837,SH,SOLE,0,0,837
WILLIAMS COS INC,COM,969457100,29270,897,SH,SOLE,0,0,897
WILLIS TOWERS WATSON PLC LTD,SHS,G96629103,551306,2341,SH,SOLE,0,0,2341
WILLSCOT MOBIL MINI HLDNG CO,COM CL A,971378104,105760,2213,SH,SOLE,0,0,2213
WINTRUST FINL CORP,COM,97650W108,1816,25,SH,SOLE,0,0,25
WISDOMTREE TR,EMER MKT HIGH FD,97717W315,497357,12996,SH,SOLE,0,0,12996
WISDOMTREE TR,EMG MKTS SMCAP,97717W281,923249,19842,SH,SOLE,0,0,19842
WISDOMTREE TR,EUROPE HEDGED EQ,97717X701,2047,25,SH,SOLE,0,0,25
WISDOMTREE TR,US LARGECAP DIVD,97717W307,25588,402,SH,SOLE,0,0,402
WISDOMTREE TR,US QTLY DIV GRT,97717X669,176250,2644,SH,SOLE,0,0,2644
WISDOMTREE TR,US TOTAL DIVIDND,97717W109,157957,2544,SH,SOLE,0,0,2544
WM TECHNOLOGY INC,COM,92971A109,59,70,SH,SOLE,0,0,70
WOLFSPEED INC,COM,977852102,74713,1344,SH,SOLE,0,0,1344
WOODSIDE ENERGY GROUP LTD,SPONSORED ADR,980228308,1624,70,SH,SOLE,0,0,70
WORKDAY INC,CL A,98138H101,308792,1367,SH,SOLE,0,0,1367
WORKHORSE GROUP INC,COM NEW,98138J206,109,125,SH,SOLE,0,0,125
WP CAREY INC,COM,92936U109,11351,168,SH,SOLE,0,0,168
WYNN RESORTS LTD,COM,983134107,5281,50,SH,SOLE,0,0,50
X4 PHARMACEUTICALS INC,COM,98420X103,4074,2100,SH,SOLE,0,0,2100
XCEL ENERGY INC,COM,98389B100,85671,1378,SH,SOLE,0,0,1378
XENIA HOTELS & RESORTS INC,COM,984017103,4407,358,SH,SOLE,0,0,358
XORTX THERAPEUTICS INC,COM NEW,98420Q207,1623,2500,SH,SOLE,0,0,2500
XPENG INC,ADS,98422D105,363,27,SH,SOLE,0,0,27
XYLEM INC,COM,98419M100,177827,1579,SH,SOLE,0,0,1579
YETI HLDGS INC,COM,98585X104,933,24,SH,SOLE,0,0,24
YEXT INC,COM,98585N106,1980,175,SH,SOLE,0,0,175
YUM BRANDS INC,COM,988498101,1146502,8275,SH,SOLE,0,0,8275
YUM CHINA HLDGS INC,COM,98850P109,2260,40,SH,SOLE,0,0,40
ZEBRA TECHNOLOGIES CORPORATI,CL A,989207105,124545,421,SH,SOLE,0,0,421
ZIFF DAVIS INC,COM,48123V102,38533,550,SH,SOLE,0,0,550
ZILLOW GROUP INC,CL C CAP STK,98954M200,2916,58,SH,SOLE,0,0,58
ZIM INTEGRATED SHIPPING SERV,SHS,M9T951109,699,56,SH,SOLE,0,0,56
ZIMMER BIOMET HOLDINGS INC,COM,98956P102,1398427,9605,SH,SOLE,0,0,9605
ZIMVIE INC,COM,98888T107,1258,112,SH,SOLE,0,0,112
ZIONS BANCORPORATION N A,COM,989701107,203196,7565,SH,SOLE,0,0,7565
ZOETIS INC,CL A,98978V103,571342,3318,SH,SOLE,0,0,3318
ZOOM VIDEO COMMUNICATIONS IN,CL A,98980L101,5363,79,SH,SOLE,0,0,79
